ID,FAMILY,SEX,LSB,LSW,COHORT,area1,area6,area2,area3,area4,area5,area7,A1,A2,A3,A4,A5
619,22,F,12,9,1,0.4926595424,0.825046038,4.92119698670904,4.97186564685365,11.8362083141672,9.8010343665917,0.901331945675603,0,0,1,1,-1
620,22,F,12,9,1,0.5059384104,1.0718509634,5.0981633871,4.633379582,10.3966439641,9.376896793,1.0718509634,1,1,1,0,0
621,37,F,9,9,1,0.5747429663,0.9641898999,4.4076096493,4.5560432505,11.0101297584,8.5702161085,0.9641898999,1,0,0,0,1
622,22,F,12,9,1,0.6052398104,0.8628640409,4.83671775150904,4.60519872645365,10.6070891809672,9.4641493149917,0.939149948575603,1,0,0,1,0
623,37,F,9,9,1,0.517606582,1.0661055299,4.7232947228,4.9362849579,11.6595726676,9.7421434646,1.0661055299,0,0,1,0,1
624,22,M,12,9,1,0.5185029987,0.9872486278,6.10525497490904,5.77857063985364,12.5196575379672,9.7435784795917,1.0635345354756,0,-1,1,1,-1
625,37,F,9,9,1,0.6083886134,1.0541831984,4.4573584269,4.6233007755,11.8722528131,9.1983153547,1.0541831984,1,0,0,0,1
626,22,M,12,9,1,0.5802140066,0.9987582398,5.88421702240904,5.02049950025365,11.2504055478672,10.0023032619917,1.0750441474756,1,0,0,1,-1
627,37,F,9,9,1,0.7111237828,1.1816780249,5.00184377460904,5.26378687865365,12.9514886617672,10.5829230655917,1.2579639325756,1,-1,0,1,1
628,37,M,9,12,1,0.4490485911,1.011161155,5.367044726,4.5834569729,10.6363837636,9.2279361238,1.011161155,0,0,0,0,1
629,37,F,9,12,1,0.4451625132,1.046877497,5.0274303194,4.6799792067,11.0407269118,9.8907362487,1.046877497,0,0,-1,0,1
630,22,M,12,12,1,0.5363580002,0.9136020612,5.7978481996,4.4595652334,10.9099208106,9.7996743671,0.9136020612,0,0,0,0,-1
631,22,M,12,12,1,0.5622904405,0.9083739179,5.635613173,4.7707098544,10.5017024991,9.346441476,0.9083739179,0,0,0,0,-1
632,22,F,12,12,1,0.5104703258,1.0083841943,4.77733759470904,5.33385404525364,11.2749774603672,9.3552246292917,1.0846701019756,1,0,1,1,0
633,37,M,9,12,1,0.6078544027,0.9322875731,4.8735601869,5.3378021762,11.8323912349,10.0147537264,0.9322875731,0,-1,1,0,1
